Epoch;Error;Edit distance;Time;Minutes;Hours
0;109,6668267;0,485372422;113,641705;1,894028417;0,03156714
25;93,87100893;0,040647655;3074,281941;51,23803236;0,853967206
50;80,11281699;0,040647655;6034,033746;100,5672291;1,676120485
75;67,73206233;0,040647655;9008,758713;150,1459786;2,502432976
100;56,42099993;0,040647655;12029,7238;200,4953966;3,341589944
125;46,27379118;0,040647655;15059,05139;250,9841898;4,18306983
150;37,76695672;0,040647655;18097,50013;301,6250022;5,02708337
175;31,47173642;0,040647655;21178,40998;352,9734996;5,88289166
200;27,39019266;0,040647655;24263,7521;404,3958683;6,739931139
225;24,94036301;0,040647655;27350,13226;455,8355377;7,597258962
250;23,47889869;0,040647655;30319,51194;505,3251991;8,422086651
275;22,56972684;0,040647655;33411,07644;556,851274;9,280854566
300;21,96819894;0,040647655;36494,31581;608,2385968;10,13730995
325;21,54366384;0,040647655;39576,60921;659,6101535;10,99350256
350;21,22445749;0,040647655;42665,16204;711,0860339;11,8514339
375;20,97114335;0,040647655;45747,77878;762,4629797;12,70771633
400;20,76074504;0,040647655;48833,13085;813,8855141;13,56475857
425;20,57938212;0,040647655;51905,15267;865,0858778;14,41809796
450;20,41863947;0,040647655;54899,63347;914,9938911;15,24989818
475;20,27309508;0,040647655;57887,33595;964,7889325;16,07981554
499;20,14411176;0,040647655;60750,17328;1012,502888;16,87504813
