Epoch;Validation loss;Validation norm;Validation cost;Validation normalized distance;Time;Train loss
0;0,679966523;0;0;0;1276,735347;0,729025957
1;0,664815984;0;0;0;2538,792299;0,695215799
2;0,649134529;0;0;0;3874,075815;0,666913047
3;0,64230718;0;0;0;5138,750123;0,679306192
4;0,625527552;0;0;0;6400,944988;0,657565491
5;0,635643327;0;0;0;7665,176826;0,661784045
6;0,618922443;0;0;0;8982,918775;0,651510901
7;0,641984232;0;0;0;10245,49641;0,65539995
8;0,604797755;0;0;0;11510,6521;0,650789054
9;0,619333304;0;0;0;12832,64674;0,669893324
